LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT_PAYMENT_NEXT_MONTH,NUM_DELAYED_MONTHS,MAX_PAYMENT_DELAY,HAS_PAYMENT_DELAY,RECENT_DELAY,AVG_BILL_AMT,MAX_BILL_AMT,AVG_PAY_AMT,TOTAL_PAY_AMT,ZERO_PAYMENT_MONTHS,CREDIT_UTILIZATION,AVG_CREDIT_UTILIZATION,PAYMENT_TO_BILL_RATIO,BILL_CHANGE
80000,2,1,2,30,1,-1,-1,-1,-2,-2,0,1313,880,0,0,0,1313,883,0,0,0,0,0,1,1,1,1,365.5,1313,366.0,2196,4,0.0,0.00456875,1.0013679890560876,0
130000,2,1,1,38,0,0,0,-2,-2,-2,64942,66775,0,0,0,0,4000,0,0,0,0,0,1,0,0,0,0,21952.833333333332,66775,666.6666666666666,4000,5,0.4995538461538461,0.16886794871794872,0.030368137749872834,64942
100000,1,2,2,30,1,3,7,6,7,8,72652,90461,89011,96593,105083,103522,20000,0,10000,10000,0,0,1,6,8,1,1,92887.0,105083,6666.666666666667,40000,3,0.72652,0.92887,0.07177179440251776,-30870
160000,1,1,1,41,0,0,0,-2,-1,0,53935,57997,-3,-3,2987,1993,5000,0,0,2990,6,2409,0,0,0,0,0,19484.333333333332,57997,1734.1666666666667,10405,2,0.33709375,0.12177708333333333,0.08900313072040786,51942
250000,1,2,2,31,0,0,0,0,0,0,14451,15774,16780,16807,17158,17500,1504,1510,537,556,559,658,0,0,0,0,0,16411.666666666668,17500,887.3333333333334,5324,0,0.057804,0.06564666666666667,0.0540672285975424,-3049
500000,2,2,1,42,0,0,0,0,0,-1,60246,74832,126778,82611,71338,29756,40000,85000,139,20000,29761,70000,0,0,0,0,0,74260.16666666667,126778,40816.666666666664,244900,0,0.120492,0.14852033333333334,0.5496441564679134,30490
260000,1,2,2,32,0,0,0,0,0,0,106093,95060,90948,84986,84491,72248,4410,6500,9500,10000,9000,8000,0,0,0,0,0,88971.0,106093,7901.666666666667,47410,0,0.40805,0.34219615384615387,0.08881171018271872,33845
50000,2,2,1,44,-2,-2,-2,-2,-2,-2,1473,390,390,390,390,0,390,390,390,390,0,780,0,0,0,0,0,505.5,1473,390.0,2340,1,0.02946,0.01011,0.771513353115727,1473
30000,2,2,2,22,0,0,0,0,0,0,27388,29016,26941,27491,6726,0,2075,1000,550,135,0,0,0,0,0,0,0,19593.666666666668,29016,626.6666666666666,3760,2,0.9129333333333334,0.6531222222222223,0.03198312379850632,27388
110000,2,2,2,42,1,2,0,0,0,0,57046,51005,48572,49299,47126,48215,0,2100,2500,2000,2250,1200,0,2,2,1,1,50210.5,57046,1675.0,10050,1,0.5186,0.4564590909090909,0.033359556268111254,8831
500000,1,1,1,39,-1,-1,-1,-1,-1,-1,6057,9418,7667,6222,9435,7235,9418,7667,6222,9435,7235,8840,0,0,0,0,0,7672.333333333333,9435,8136.166666666667,48817,0,0.012114,0.015344666666666666,1.0604553156362688,-1178
310000,2,1,2,32,0,0,0,0,0,0,35064,38195,39233,39577,42996,46319,4000,2000,2000,4000,4000,4000,0,0,0,0,0,40230.666666666664,46319,3333.3333333333335,20000,0,0.11310967741935483,0.1297763440860215,0.08285553309249992,-11255
580000,1,2,1,37,0,0,0,0,-1,-1,110417,89301,82057,27666,20226,276422,3757,2299,618,2636,326889,8689,0,0,0,0,0,101014.83333333333,276422,57481.333333333336,344888,0,0.19037413793103447,0.17416350574712644,0.5690385405443755,-166005
340000,2,1,1,36,0,0,0,0,0,0,185268,326074,276519,251815,218706,165666,160444,10143,7190,6283,5208,4177,0,0,0,0,0,237341.33333333334,326074,32240.833333333332,193445,0,0.5449058823529411,0.6980627450980392,0.13584162893385615,19602
360000,2,2,1,42,-1,-1,-1,-1,-1,-1,22237,5683,1632,1632,22379,8901,6695,1632,1632,22379,8901,4852,0,0,0,0,0,10410.666666666666,22379,7681.833333333333,46091,0,0.061769444444444446,0.028918518518518517,0.7378810194672132,13336
290000,2,1,2,29,-1,-1,-1,-1,-1,-1,578,7124,7620,0,4788,0,7129,7620,0,4788,0,7026,0,0,0,0,0,3351.6666666666665,7620,4427.166666666667,26563,2,0.001993103448275862,0.011557471264367816,1.3208851317752364,578
30000,1,2,2,36,3,2,2,2,3,2,20424,19809,22478,24111,23447,24951,0,3000,2300,0,2500,0,0,6,3,1,1,22536.666666666668,24951,1300.0,7800,3,0.6808,0.7512222222222222,0.05768377458955776,-4527
80000,2,1,2,29,0,0,0,0,0,0,26524,23224,23141,22160,21478,20441,1500,1700,1000,1000,1000,1500,0,0,0,0,0,22828.0,26524,1283.3333333333333,7700,0,0.33155,0.28535,0.0562175106594241,6083
360000,1,1,1,38,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390,1,0,0,0,0,390.0,780,325.0,1950,1,0.0021666666666666666,0.0010833333333333333,0.8333333333333334,390
170000,2,1,2,31,-1,-1,-1,-1,-1,-1,1561,1239,7315,10730,1686,9445,1239,7352,10730,1686,9445,3444,0,0,0,0,0,5329.333333333333,10730,5649.333333333333,33896,0,0.009182352941176471,0.031349019607843136,1.0600450337753315,-7884
100000,1,2,1,42,0,0,0,0,2,0,56256,57685,58156,61103,59358,60060,3000,2688,5163,0,2358,2472,0,1,2,1,0,58769.666666666664,61103,2613.5,15681,1,0.56256,0.5876966666666666,0.044470219898019955,-3804
450000,1,2,2,37,0,0,-1,-1,0,0,457627,38692,4549,16885,6440,7440,1000,4549,16885,129,1000,0,0,0,0,0,0,88605.5,457627,3927.1666666666665,23563,1,1.016948888888889,0.1969011111111111,0.044321928849413036,450187
260000,2,1,2,33,-2,-1,-1,-1,0,0,0,204,-810,2190,810,0,204,0,3000,0,0,0,0,0,0,0,0,399.0,2190,534.0,3204,4,0.0,0.0015346153846153847,1.3383458646616542,0
240000,2,1,2,29,0,0,0,-1,-1,-1,25700,28677,22081,3428,67,1832,5009,2000,5000,0,3332,0,0,0,0,0,0,13630.833333333334,28677,2556.8333333333335,15341,2,0.10708333333333334,0.05679513888888889,0.18757718408021032,23868
110000,2,2,2,28,0,0,0,-2,-2,-2,5660,1150,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,1135.0,5660,333.3333333333333,2000,5,0.051454545454545454,0.010318181818181818,0.2936857562408223,5660
240000,2,2,2,26,0,0,0,0,0,0,184501,177846,167934,169133,175175,146093,7627,6003,5504,10158,6000,6012,0,0,0,0,0,170113.66666666666,184501,6884.0,41304,0,0.7687541666666666,0.7088069444444444,0.040467060259708705,38408
220000,2,2,2,35,0,0,0,0,0,0,34819,30937,30348,23459,23200,21281,2006,2022,1002,1007,1000,1008,0,0,0,0,0,27340.666666666668,34819,1340.8333333333333,8045,0,0.1582681818181818,0.12427575757575758,0.04904172051400843,13538
20000,1,2,1,33,0,0,0,-2,-2,-2,2508,3448,-202,-202,950,0,1000,202,0,1152,0,1000,0,0,0,0,0,1083.6666666666667,3448,559.0,3354,2,0.1254,0.05418333333333334,0.5158412796062749,2508
100000,2,1,1,51,1,-2,-2,-1,2,2,0,0,0,300,150,780,0,0,300,0,630,0,1,3,2,1,1,205.0,780,155.0,930,4,0.0,0.00205,0.7560975609756098,-780
300000,1,1,2,32,-2,-2,-2,-2,-2,-2,264,264,264,264,414,264,264,264,264,414,264,264,0,0,0,0,0,289.0,414,289.0,1734,0,0.00088,0.0009633333333333333,1.0,0
20000,1,2,2,33,0,0,0,0,0,-1,8488,10179,11901,11901,9336,9054,2000,2000,0,0,9054,2000,1,0,0,0,0,10143.166666666666,11901,2509.0,15054,2,0.4244,0.5071583333333333,0.24735864867973514,-566
360000,2,1,2,30,0,0,0,0,0,0,139762,143515,147037,146117,145884,147645,6000,6000,4818,5000,5000,4500,0,0,0,0,0,144993.33333333334,147645,5219.666666666667,31318,0,0.3882277777777778,0.40275925925925926,0.03599935629224332,-7883
220000,1,1,2,28,0,0,0,0,0,0,221268,219545,216317,181012,181435,183283,8700,8500,6300,6700,7200,5300,1,0,0,0,0,200476.66666666666,221268,7116.666666666667,42700,0,1.0057636363636364,0.9112575757575757,0.035498728031524866,37985
470000,2,2,2,26,0,0,0,0,0,0,169699,170309,167876,170610,173643,178083,6200,7000,5716,5982,7000,5500,0,0,0,0,0,171703.33333333334,178083,6233.0,37398,0,0.3610617021276596,0.3653262411347518,0.03630098425579002,-8384
70000,2,2,2,22,0,0,0,0,0,0,65793,26665,22630,14573,15127,12596,2000,1400,291,1500,5000,2000,0,0,0,0,0,26230.666666666668,65793,2031.8333333333333,12191,0,0.9399,0.3747238095238095,0.07746022467341025,53197
120000,2,1,2,26,0,0,0,0,0,0,10172,12400,14256,16859,17477,21588,3000,3000,4000,4000,5000,5000,0,0,0,0,0,15458.666666666666,21588,4000.0,24000,0,0.08476666666666667,0.12882222222222223,0.2587545282042436,-11416
50000,1,2,2,35,0,0,0,0,0,0,18510,19418,21097,21759,22421,23061,1500,2000,1000,1000,1000,1203,0,0,0,0,0,21044.333333333332,23061,1283.8333333333333,7703,0,0.3702,0.42088666666666663,0.061006129916208636,-4551
470000,1,2,1,49,0,0,0,0,0,0,169260,161760,154424,147137,138240,125866,6600,6170,5100,4726,4555,4375,0,0,0,0,0,149447.83333333334,169260,5254.333333333333,31526,0,0.3601276595744681,0.31797411347517734,0.03515831053645251,43394
130000,1,2,1,49,0,0,0,0,-1,-1,24008,21231,14323,7722,4689,-3614,3000,5000,2822,5000,0,6500,0,0,0,0,0,11393.166666666666,24008,3720.3333333333335,22322,1,0.18467692307692307,0.08763974358974358,0.3265407627378985,27622
20000,2,1,2,24,-1,-1,-1,2,2,2,390,707,1320,930,780,240,1097,1003,0,240,0,780,1,3,2,1,0,727.8333333333334,1320,520.0,3120,2,0.0195,0.03639166666666667,0.7144492786810167,150
260000,2,1,2,36,-2,-2,-2,-2,-1,-1,1891,2438,2280,746,1989,1668,2637,2280,746,1989,1668,2605,0,0,0,0,0,1835.3333333333333,2438,1987.5,11925,0,0.007273076923076923,0.007058974358974359,1.0829095532146749,223
20000,1,1,1,39,-1,-1,-1,-1,-1,-1,628,662,596,630,664,598,700,600,700,700,600,1400,0,0,0,0,0,629.6666666666666,664,783.3333333333334,4700,0,0.0314,0.03148333333333333,1.2440444679724723,30
300000,2,1,2,28,2,-1,-1,0,0,-2,1314,168,1080,1080,0,0,170,1080,0,0,0,2500,1,1,2,1,1,607.0,1314,625.0,3750,3,0.00438,0.002023333333333333,1.029654036243822,1314
460000,2,2,2,35,0,0,0,0,0,0,449790,450047,453770,396600,392879,398478,17610,17500,13810,14100,14520,15000,0,0,0,0,0,423594.0,453770,15423.333333333334,92540,0,0.9778043478260869,0.9208565217391305,0.036410651079414096,51312
20000,2,1,2,24,1,-1,-1,-1,2,2,0,20087,2110,300,150,650,20087,2200,600,0,500,0,1,3,2,1,1,3882.8333333333335,20087,3897.8333333333335,23387,2,0.0,0.19414166666666668,1.0038631583465683,-650
360000,2,2,2,27,0,0,0,0,0,0,238971,245515,248969,253896,259403,264352,10381,9036,9066,9576,9426,9435,1,0,0,0,0,251851.0,264352,9486.666666666666,56920,0,0.6638083333333333,0.6995861111111111,0.037667774464531276,-25381
290000,1,1,1,40,0,0,0,0,0,0,98441,95169,93718,89712,82809,76334,4000,4250,5000,3241,3500,7000,0,0,0,0,0,89363.83333333333,98441,4498.5,26991,0,0.339451724137931,0.3081511494252873,0.05033915659392409,22107
90000,1,1,1,30,0,0,0,0,0,0,38921,45577,46496,40244,39903,8629,12000,5000,3000,10000,1000,1838,0,0,0,0,0,36628.333333333336,46496,5473.0,32838,0,0.43245555555555554,0.4069814814814815,0.14941984802293307,30292
180000,2,1,2,26,-1,-1,-1,-1,-1,-1,2049,0,351,631,13359,384,0,351,631,13359,384,487,0,0,0,0,0,2795.6666666666665,13359,2535.3333333333335,15212,1,0.011383333333333334,0.015531481481481481,0.906879694765709,1665
360000,1,3,1,53,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,6,0.0,0.0,0.0,0
120000,1,1,1,45,0,0,0,0,0,0,20877,21909,22922,23376,23866,24339,1369,1382,836,866,870,902,0,0,0,0,0,22881.5,24339,1037.5,6225,0,0.173975,0.19067916666666668,0.045342307103992306,-3462
220000,1,2,2,30,0,0,0,0,0,0,217800,189016,137788,106713,96588,22743,7261,5170,4054,4500,1225,110000,0,0,0,0,0,128441.33333333333,217800,22035.0,132210,0,0.99,0.5838242424242424,0.1715569235240992,195057
220000,1,1,2,34,2,2,0,0,0,2,203101,185384,149839,142404,120918,87005,311,38024,8105,10117,37,5264,1,3,2,1,1,148108.5,203101,10309.666666666666,61858,0,0.9231863636363636,0.6732204545454545,0.06960887907626279,116096
10000,2,1,2,27,-1,-1,-2,-2,-2,-2,499,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,83.16666666666667,499,0.0,0,6,0.0499,0.008316666666666667,0.0,499
320000,2,2,2,31,0,0,0,0,0,0,104850,101705,93489,95033,96941,108463,3600,4277,4000,3600,13203,4500,0,0,0,0,0,100080.16666666667,108463,5530.0,33180,0,0.32765625,0.3127505208333333,0.0552557033444855,-3613
320000,1,1,1,33,0,0,0,0,0,0,325445,202853,57051,161651,182265,0,10000,15000,105000,55000,0,0,0,0,0,0,0,154877.5,325445,30833.333333333332,185000,2,1.017015625,0.4839921875,0.19908207023830662,325445
90000,1,2,2,39,0,0,0,0,-1,0,50477,22472,20148,4708,5000,5028,3000,5000,500,5000,500,500,0,0,0,0,0,17972.166666666668,50477,2416.6666666666665,14500,0,0.5608555555555556,0.19969074074074075,0.1344671853699702,45449
180000,1,1,1,50,0,0,0,0,0,0,66114,69436,72560,76169,77988,69293,5000,5000,5000,3000,5000,5000,0,0,0,0,0,71926.66666666667,77988,4666.666666666667,28000,0,0.3673,0.3995925925925926,0.06488089721012141,-3179
90000,2,1,2,28,0,0,0,0,0,-1,88345,90260,87535,89335,19715,4709,3360,1947,2000,10000,4709,82400,0,0,0,0,0,63316.5,90260,17402.666666666668,104416,0,0.9816111111111111,0.7035166666666667,0.2748520001368785,83636
100000,1,1,1,36,0,0,0,0,0,0,23070,18806,20183,21540,25775,0,1700,2000,2000,5000,0,0,0,0,0,0,0,18229.0,25775,1783.3333333333333,10700,2,0.2307,0.18229,0.09782946586940224,23070
340000,1,2,1,41,0,0,0,0,0,0,331003,332829,274467,275341,280913,270448,15110,11019,9502,9579,9026,8719,0,0,0,0,0,294166.8333333333,332829,10492.5,62955,0,0.9735382352941176,0.8651965686274509,0.03566853503199149,60555
50000,1,1,2,22,0,0,2,0,0,0,47726,51161,48310,50332,47492,50782,5500,0,3000,3000,5000,0,1,1,2,1,0,49300.5,51161,2750.0,16500,2,0.95452,0.98601,0.05578036733907364,-3056
240000,2,2,1,41,-1,0,-1,-1,-1,-1,20272,11294,16873,1143,4317,14940,1000,16906,1143,4317,14940,0,0,0,0,0,0,11473.166666666666,20272,6384.333333333333,38306,1,0.08446666666666666,0.04780486111111111,0.5564578218742283,5332
10000,1,2,2,41,1,2,2,2,2,2,8722,9592,9289,10140,10417,10104,1157,0,1008,584,0,198,0,6,2,1,1,9710.666666666666,10417,491.1666666666667,2947,2,0.8722,0.9710666666666666,0.050580118083207476,-1382
220000,2,1,1,42,2,2,2,2,2,2,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,1,6,2,1,1,2500.0,2500,0.0,0,6,0.011363636363636364,0.011363636363636364,0.0,0
100000,2,2,2,37,0,0,0,0,0,0,107669,107529,73323,51125,46879,45538,3536,2821,3963,3147,2670,725,0,0,0,0,0,72010.5,107669,2810.3333333333335,16862,0,1.07669,0.720105,0.039026716011322425,62131
220000,2,1,1,31,-2,-2,-2,-2,-2,-2,3785,1137,377,5763,3952,412,1142,377,5763,3952,412,1294,0,0,0,0,0,2571.0,5763,2156.6666666666665,12940,0,0.017204545454545455,0.011686363636363637,0.8388435109555296,3373
70000,2,3,1,57,0,0,0,0,0,0,67864,65062,66447,49103,45830,46769,2620,2730,1936,1700,1700,2000,0,0,0,0,0,56845.833333333336,67864,2114.3333333333335,12686,0,0.9694857142857143,0.8120833333333334,0.037194165506120355,21095
30000,2,2,2,37,3,2,2,0,0,0,29657,30320,28991,29066,29340,30786,1763,0,1178,1223,2435,1200,1,3,3,1,1,29693.333333333332,30786,1299.8333333333333,7799,1,0.9885666666666667,0.9897777777777778,0.043775258194881005,-1129
130000,2,3,2,53,-1,-1,-1,-1,-1,-1,11085,45677,27951,17255,10400,18776,45697,27951,17307,10400,18776,2944,0,0,0,0,0,21857.333333333332,45677,20512.5,123075,0,0.08526923076923076,0.16813333333333333,0.9384722137497713,-7691
140000,2,2,1,25,0,0,0,0,0,0,81960,81757,83046,84034,77659,77180,3005,3000,3000,3000,3000,5000,0,0,0,0,0,80939.33333333333,84034,3334.1666666666665,20005,0,0.5854285714285714,0.5781380952380952,0.04119340411336886,4780
20000,1,2,2,32,0,0,-1,0,0,0,4485,4843,15992,14897,12792,10042,1000,16000,600,1000,500,0,0,0,0,0,0,10508.5,15992,3183.3333333333335,19100,1,0.22425,0.525425,0.30292937463323344,-5557
150000,2,1,1,38,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.0,0,0.0,0,6,0.0,0.0,0.0,0
50000,2,2,2,26,0,0,-2,-2,-2,-2,4136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689.3333333333334,4136,0.0,0,6,0.08272,0.013786666666666668,0.0,4136
90000,1,2,1,29,1,1,1,0,0,0,41073,43480,73960,2442,48063,48186,3100,1000,770,48012,1756,1894,0,3,1,1,1,42867.333333333336,73960,9422.0,56532,0,0.45636666666666664,0.47630370370370373,0.21979440444161052,-7113
170000,2,3,1,37,0,0,0,0,0,0,158920,164353,167455,99297,59888,44262,8000,7000,5000,5000,5000,20000,0,0,0,0,0,115695.83333333333,167455,8333.333333333334,50000,0,0.9348235294117647,0.6805637254901961,0.07202794684337524,114658
70000,1,1,2,30,2,2,0,0,0,0,34985,34146,35271,35986,36905,37641,0,2000,1300,1500,1500,1576,1,2,2,1,1,35822.333333333336,37641,1312.6666666666667,7876,1,0.4997857142857143,0.5117476190476191,0.036643806936082705,-2656
200000,2,1,2,43,-2,-2,-2,-2,-2,-2,830,-6,-6,657,2088,150,0,0,663,2088,150,594,0,0,0,0,0,618.8333333333334,2088,582.5,3495,2,0.00415,0.003094166666666667,0.9412873687045515,680
200000,1,1,1,42,0,-1,0,0,-1,-1,19318,19067,17858,326,326,326,19067,5000,0,326,326,326,0,0,0,0,0,9536.833333333334,19318,4174.166666666667,25045,1,0.09659,0.047684166666666666,0.43768896034672583,18992
20000,1,2,1,40,1,2,0,0,0,0,20498,19692,20498,19898,19906,18586,0,1600,0,398,0,0,1,2,2,1,1,19846.333333333332,20498,333.0,1998,4,1.0249,0.9923166666666666,0.016778918020121266,1912
200000,1,2,1,41,0,0,0,0,0,0,96910,92934,99528,100341,102585,108567,10000,7004,5000,5003,7345,7000,0,0,0,0,0,100144.16666666667,108567,6892.0,41352,0,0.48455,0.5007208333333334,0.06882078337064065,-11657
170000,1,2,2,26,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,6,0.0,0.0,0.0,0
130000,1,1,2,25,1,-2,-2,-2,-2,-2,-2000,-2000,-2000,-2000,-2000,-2000,0,0,0,0,0,0,1,1,1,1,1,-2000.0,-2000,0.0,0,6,-0.015384615384615385,-0.015384615384615385,-0.0,0
100000,2,1,2,27,0,0,0,0,2,0,90118,88435,90147,94425,92853,93816,4110,4101,6623,0,3503,3360,0,1,2,1,0,91632.33333333333,94425,3616.1666666666665,21697,1,0.90118,0.9163233333333333,0.03946387192293841,-3698
180000,1,2,2,31,0,0,0,2,0,0,28566,32876,39120,38339,42679,46953,5000,7000,0,5000,5000,5000,0,1,2,1,0,38088.833333333336,46953,4500.0,27000,1,0.1587,0.21160462962962964,0.11814486310510953,-18387
230000,2,3,2,26,-2,-1,0,0,0,0,1200,990,9079,11186,10159,11734,990,8089,2186,1159,1734,1200,0,0,0,0,0,7391.333333333333,11734,2559.6666666666665,15358,0,0.0052173913043478265,0.03213623188405797,0.34630648507260753,-10534
20000,1,3,2,50,-1,-1,-1,-1,-1,0,2191,1140,12656,1693,303,12303,1140,12656,1700,500,12000,0,0,0,0,0,0,5047.666666666667,12656,4666.0,27996,1,0.10955,0.25238333333333335,0.9243875057782474,-10112
500000,2,1,1,35,0,0,0,0,0,0,35176,36193,44157,48322,21593,13866,2504,10004,5178,1047,2019,1004,1,0,0,0,0,33217.833333333336,48322,3626.0,21756,0,0.070352,0.06643566666666667,0.10915823327830933,21310
150000,2,1,1,38,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.0,0,0.0,0,6,0.0,0.0,0.0,0
80000,2,3,2,40,3,2,2,2,2,2,38503,40118,41199,42264,43083,43471,2500,2000,2000,1600,1200,2000,1,6,3,1,1,41439.666666666664,43471,1883.3333333333333,11300,0,0.4812875,0.5179958333333333,0.04544759851671908,-4968
230000,1,2,1,29,0,0,0,0,0,0,56171,60250,63574,71941,75882,75619,5000,5000,10000,5000,5000,5000,0,0,0,0,0,67239.5,75882,5833.333333333333,35000,0,0.2442217391304348,0.29234565217391306,0.08675456143090494,-19448
80000,1,1,2,37,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.0,0,0.0,0,6,0.0,0.0,0.0,0
230000,2,2,2,24,0,0,0,0,0,0,24973,24974,25566,23427,28229,31355,5000,5000,2100,5229,3355,4598,0,0,0,0,0,26420.666666666668,31355,4213.666666666667,25282,0,0.10857826086956522,0.11487246376811595,0.15948373747823674,-6382
50000,2,2,2,49,2,0,-1,-1,-1,0,38947,37799,3,18080,12227,13296,2000,1000,19000,12500,2000,2000,1,1,2,1,1,20058.666666666668,38947,6416.666666666667,38500,0,0.77894,0.4011733333333334,0.31989497474076045,25651
50000,1,2,2,35,0,0,0,0,0,0,48813,50789,49624,19880,20431,19559,5000,23000,838,1000,1000,1000,0,0,0,0,0,34849.333333333336,50789,5306.333333333333,31838,0,0.97626,0.6969866666666668,0.1522649883307189,29254
10000,2,1,2,25,1,3,2,0,0,0,10438,10130,9738,9178,8398,0,0,0,0,0,0,0,0,3,3,1,1,7980.333333333333,10438,0.0,0,6,1.0438,0.7980333333333333,0.0,10438
140000,1,2,2,34,2,2,2,2,2,2,135949,130625,117392,111478,109353,97612,8408,3500,3500,3600,0,3600,0,6,2,1,1,117068.16666666667,135949,3768.0,22608,1,0.9710642857142857,0.8362011904761905,0.03218637574404656,38337
50000,1,2,2,42,0,0,0,0,0,0,39236,39729,27068,28604,28199,58428,2094,1451,1987,1039,1500,1200,1,0,0,0,0,36877.333333333336,58428,1545.1666666666667,9271,0,0.78472,0.7375466666666667,0.04190017354834044,-19192
180000,1,3,2,28,0,0,0,0,0,0,129719,133702,133758,80055,69672,33194,6070,3521,5000,5000,5004,5029,0,0,0,0,0,96683.33333333333,133758,4937.333333333333,29624,0,0.7206611111111111,0.5371296296296296,0.05106705740389588,96525
360000,1,1,2,65,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.0,0,0.0,0,6,0.0,0.0,0.0,0
580000,1,3,1,67,2,2,3,3,4,6,453985,470915,471175,486776,503914,527711,25704,9464,25065,25703,33000,215,0,6,6,1,1,485746.0,527711,19858.5,119151,0,0.7827327586206897,0.8374931034482759,0.04088247767351661,-73726
310000,2,1,1,43,-2,-2,-2,-2,-2,-2,14619,1881,13750,9837,7785,14460,12484,13961,9838,7785,14460,14195,0,0,0,0,0,10388.666666666666,14619,12120.5,72723,0,0.047158064516129035,0.033511827956989246,1.1667041006224732,159
20000,1,3,2,52,0,0,2,0,0,0,16735,20373,12071,12567,13949,14318,4008,0,1000,1600,600,532,0,1,2,1,0,15002.166666666666,20373,1290.0,7740,1,0.83675,0.7501083333333333,0.08598757957183963,2417
180000,2,1,2,43,-2,-1,-1,-1,0,-1,8657,6847,18762,22928,3129,2398,6847,18762,22928,0,2398,23149,0,0,0,0,0,10453.5,22928,12347.333333333334,74084,1,0.04809444444444445,0.058075,1.181167392101529,6259
60000,2,1,2,24,0,0,0,0,0,0,15050,16203,16891,15474,14612,16354,2000,1300,2000,1000,2000,1000,0,0,0,0,0,15764.0,16891,1550.0,9300,0,0.25083333333333335,0.2627333333333333,0.09832529814767825,-1304
40000,2,3,1,59,0,0,0,0,0,2,14769,15271,15383,14548,16274,15650,1573,1512,504,2770,613,14,0,1,2,1,0,15315.833333333334,16274,1164.3333333333333,6986,0,0.369225,0.3828958333333333,0.0760215463300506,-881
140000,2,2,1,34,0,0,2,0,0,0,121374,125965,102527,103337,105942,101830,8200,3000,4000,4500,4000,4200,0,1,2,1,0,110162.5,125965,4650.0,27900,0,0.8669571428571429,0.786875,0.042210371042777715,19544
220000,1,2,1,32,0,-1,-1,-1,-1,-1,8000,8288,8000,0,8000,0,8288,8000,0,8000,0,0,0,0,0,0,0,5381.333333333333,8288,4048.0,24288,3,0.03636363636363636,0.024460606060606058,0.7522299306243806,8000
10000,1,2,2,22,0,0,0,0,0,0,8602,8728,9721,9609,9503,9771,1158,1151,339,344,425,195,1,0,0,0,0,9322.333333333334,9771,602.0,3612,0,0.8602,0.9322333333333334,0.06457610755533306,-1169
20000,1,1,1,52,0,-1,-1,-1,0,-1,19965,390,390,780,780,10400,390,390,780,0,10400,0,0,0,0,0,0,5450.833333333333,19965,1993.3333333333333,11960,2,0.99825,0.2725416666666666,0.36569331906436325,9565
50000,2,1,2,23,-1,0,0,0,0,0,15036,15790,18202,18601,19138,18319,1300,2701,700,847,655,700,0,0,0,0,0,17514.333333333332,19138,1150.5,6903,0,0.30072,0.35028666666666664,0.0656890546790248,-3283
50000,2,2,2,33,2,0,0,0,0,0,27752,28787,29800,30393,31031,33020,1487,1500,1081,1121,2500,0,1,1,2,1,1,30130.5,33020,1281.5,7689,1,0.55504,0.60261,0.04253165397188895,-5268
320000,2,2,2,35,0,0,0,0,0,0,98697,100572,103621,103720,100136,102167,3891,5240,3616,3770,4264,3345,0,0,0,0,0,101485.5,103720,4021.0,24126,0,0.308428125,0.3171421875,0.03962142375019091,-3470
20000,1,2,2,34,-2,-2,-2,-2,-2,-2,2199,1530,750,2280,1500,780,1530,750,1140,3000,780,0,0,0,0,0,0,1506.5,2280,1200.0,7200,1,0.10995,0.075325,0.7965482907401261,1419
50000,1,2,1,40,0,0,0,0,0,0,48219,48978,49257,19641,20053,19613,2037,2316,690,715,718,690,0,0,0,0,0,34293.5,49257,1194.3333333333333,7166,0,0.96438,0.68587,0.03482681363329299,28606
340000,1,1,1,49,-1,-1,-1,-2,-1,2,1960,1052,6730,1346,3684,745,1228,7270,2000,4325,0,11271,0,1,2,1,0,2586.1666666666665,6730,4349.0,26094,1,0.005764705882352941,0.007606372549019608,1.6816394921698783,1215
360000,2,2,1,32,1,-2,-2,-2,-2,-2,-301,-301,-301,-301,-301,-301,0,0,0,0,0,0,1,1,1,1,1,-301.0,-301,0.0,0,6,-0.0008361111111111111,-0.0008361111111111111,-0.0,0
300000,2,2,1,33,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.0,0,0.0,0,6,0.0,0.0,0.0,0
